task_name,task_type,days_until_deadline,remaining_days,required_hours,progress_percent,current_cgpa,task_weight,weightage_marks,difficulty_level,stress_level,past_delay_history,dependency_count,risk_score,delay_days,will_delay
Online Quiz #4,exam,4,2,11.1,76,9.11,19,16,medium,medium,4,1,45.7,7,1
Industry Internship Project #2,project,16,11,16.9,93,4.51,6,50,easy,medium,0,0,17.0,-1,0
End-Semester Exam #4,exam,7,2,27.4,42,4.72,17,46,easy,low,9,6,63.3,14,1
ML Model Project,project,15,13,6.4,54,4.13,26,10,medium,medium,5,0,46.8,8,1
DS Lab - Linked List #5,lab_experiment,9,5,35.9,95,7.02,41,41,hard,high,4,5,64.1,3,1
Web Dev Assignment,assignment,5,3,13.1,4,6.3,19,89,easy,high,5,4,76.1,6,1
Final Year Project #2,project,14,11,53.2,90,5.88,38,94,hard,high,5,0,54.8,7,1
IoT Based Project #1,project,32,30,72.9,10,6.28,29,45,hard,medium,4,5,64.9,4,1
AI Lab - Search Algorithms (Sem 3),lab_experiment,26,25,76.6,66,9.21,47,86,easy,critical,5,0,46.5,12,1
Data Structures Assignment #1,assignment,9,6,55.4,10,8.12,26,93,hard,medium,9,3,66.6,4,1
OS Lab - Process Scheduling #4,lab_experiment,5,3,2.6,99,4.46,50,27,medium,low,2,1,43.2,-1,0
Internal Assessment,exam,23,21,1.6,5,6.81,45,70,hard,high,6,1,69.5,2,1
OS Lab - Process Scheduling #3,lab_experiment,9,5,28.6,58,5.42,25,60,medium,medium,9,3,59.9,3,1
End-Semester Exam (Sem 2),exam,20,20,12.5,0,5.89,48,19,medium,low,4,1,53.8,14,1
IOT Lab Experiment (Sem 6),lab_experiment,7,6,44.3,73,4.15,22,60,medium,low,2,5,46.6,12,1
Industry Internship Project,project,5,3,46.3,47,4.58,34,70,medium,high,5,3,77.0,12,1
DBMS Assignment #2,assignment,9,5,18.5,23,7.73,47,39,easy,high,3,2,53.1,13,1
Unit Test,exam,21,18,49.5,43,4.14,25,80,hard,medium,9,5,65.9,10,1
Group Project - Web App (Sem 3),project,13,8,24.3,13,6.61,13,85,hard,medium,1,1,45.7,-1,0
Math Assignment #2,assignment,6,5,26.5,36,9.47,17,60,medium,high,8,6,64.5,11,1
Math Assignment,assignment,25,20,74.2,32,8.43,11,84,hard,critical,7,2,65.7,8,1
Final Year Project (Sem 2),project,4,0,29.9,69,4.41,23,59,hard,high,0,1,69.5,12,1
Software Engineering Assignment (Sem 5),assignment,12,7,38.2,2,9.64,11,33,medium,high,5,1,62.7,14,1
Surprise Test (Sem 4),exam,5,2,33.6,100,6.38,24,21,hard,medium,3,0,48.4,6,1
Open Source Contribution (Sem 6),project,31,30,33.9,50,5.87,43,14,easy,high,9,0,51.3,1,1
Industry Internship Project #3,project,18,14,71.3,46,8.17,32,20,medium,medium,10,3,45.0,9,1
Algorithms Assignment,assignment,8,7,1.8,44,5.0,35,82,hard,medium,8,1,66.7,12,1
Network Lab - Packet Analysis (Sem 8),lab_experiment,30,27,64.2,93,5.72,37,94,easy,high,5,3,48.1,12,1
DBMS Assignment (Sem 6),assignment,5,0,55.2,58,5.86,40,62,medium,critical,8,2,91.4,14,1
Computer Vision Lab #5,lab_experiment,18,14,11.5,32,8.52,12,87,medium,medium,2,4,38.8,-2,0
Computer Vision Lab,lab_experiment,8,6,33.1,7,7.73,27,95,very_hard,high,7,4,84.3,1,1
Group Project - Web App (Sem 1),project,17,12,6.9,29,5.23,41,21,easy,critical,8,5,73.3,12,1
DS Lab - Linked List (Sem 5),lab_experiment,24,20,57.4,83,4.87,32,80,medium,critical,1,1,46.6,9,1
Computer Vision Lab (Sem 4),lab_experiment,4,4,22.2,4,7.09,18,48,medium,medium,8,3,65.0,9,1
Open Source Contribution (Sem 3),project,26,25,31.8,62,4.72,17,43,very_hard,high,4,6,73.3,14,1
Viva Voce #2,exam,22,21,79.8,95,5.29,42,35,medium,medium,0,1,27.2,0,0
Algorithms Assignment,assignment,10,10,30.0,21,5.98,31,74,medium,high,10,1,62.9,2,1
Online Quiz #5,exam,20,15,5.3,41,6.52,16,13,easy,medium,5,1,40.4,-3,0
Algorithms Assignment (Sem 1),assignment,4,2,41.2,80,7.61,18,82,easy,low,9,1,37.8,3,1
Mini Project #4,project,9,8,11.7,16,7.96,20,57,hard,high,2,3,54.8,10,1
Software Engineering Assignment #1,assignment,30,29,16.1,94,4.11,26,94,medium,high,2,1,38.8,-1,0
Computer Graphics Assignment (Sem 3),assignment,27,27,6.6,89,8.71,42,65,hard,high,7,4,53.4,9,1
Software Engineering Assignment,assignment,18,18,41.1,89,6.64,21,30,hard,high,3,3,48.3,0,0
Networking Assignment,assignment,15,15,57.4,85,6.47,50,68,medium,medium,7,0,38.0,-1,0
Network Lab - Packet Analysis (Sem 6),lab_experiment,14,13,12.0,91,5.5,33,41,hard,low,6,3,48.1,3,1
Industry Internship Project,project,13,12,68.3,14,9.81,45,64,medium,high,4,6,60.7,5,1
Viva Voce (Sem 6),exam,9,4,50.4,95,9.05,17,66,hard,medium,4,3,45.7,-2,0
Machine Learning Assignment,assignment,6,4,64.5,50,8.96,28,64,medium,medium,4,2,46.8,14,1
Computer Graphics Assignment,assignment,28,28,62.3,21,8.22,50,72,very_hard,medium,9,5,70.8,11,1
OS Lab - Process Scheduling,lab_experiment,10,9,24.4,99,9.46,34,60,easy,critical,0,5,33.6,-1,0
Module Exam (Sem 6),exam,25,20,15.0,80,5.51,29,16,easy,low,3,0,25.9,-1,0
DBMS Lab - SQL Queries #2,lab_experiment,15,15,43.9,61,5.67,40,41,very_hard,high,8,4,76.8,8,1
Weekly Test #3,exam,30,26,14.6,89,6.71,46,41,easy,low,9,6,36.8,-1,0
Math Assignment (Sem 2),assignment,17,16,25.2,39,4.54,7,57,medium,medium,8,1,49.9,14,1
Research Project #3,project,33,28,71.5,50,7.97,36,62,medium,medium,0,4,31.6,-2,0
OS Assignment #2,assignment,5,0,9.7,93,7.03,21,48,easy,critical,3,1,64.5,6,1
Algorithms Assignment,assignment,5,1,3.4,46,5.69,21,40,easy,medium,1,2,59.9,12,1
DBMS Assignment (Sem 1),assignment,34,30,67.9,20,7.08,7,87,easy,medium,2,0,32.7,-2,0
IOT Lab Experiment #2,lab_experiment,9,7,62.2,31,6.56,14,82,hard,critical,9,2,79.2,9,1
OS Assignment (Sem 3),assignment,18,15,21.0,59,4.78,7,93,medium,critical,8,2,62.9,4,1
DBMS Lab - SQL Queries,lab_experiment,20,18,74.6,52,9.5,39,20,easy,low,0,0,13.5,-2,0
Machine Learning Assignment,assignment,14,13,51.3,58,4.17,18,97,hard,high,1,3,53.2,3,1
DS Lab - Linked List #3,lab_experiment,28,25,13.3,26,7.42,44,95,hard,medium,0,5,51.2,9,1
DBMS Assignment (Sem 6),assignment,7,5,24.4,54,9.03,23,68,hard,high,1,5,56.5,8,1
IOT Lab Experiment,lab_experiment,29,24,63.1,21,5.51,42,77,very_hard,high,5,3,83.0,3,1
Compiler Lab - Lexical Analysis,lab_experiment,10,9,7.3,19,9.17,35,73,medium,medium,7,0,44.7,14,1
Data Structures Assignment #3,assignment,7,7,58.3,64,7.85,28,80,easy,high,0,2,34.0,-1,0
Machine Learning Assignment (Sem 4),assignment,6,4,23.2,50,9.17,41,71,medium,low,5,3,48.1,3,1
Industry Internship Project #2,project,32,28,67.1,19,4.16,14,32,hard,high,3,3,66.6,1,1
Weekly Test (Sem 8),exam,22,21,38.8,16,5.39,45,27,hard,low,3,6,62.3,12,1
Network Lab - Packet Analysis #1,lab_experiment,32,29,18.4,35,5.67,34,29,hard,low,1,4,49.4,0,0
Industry Internship Project (Sem 8),project,8,5,11.2,72,7.39,37,46,hard,medium,1,3,48.3,8,1
Practical Exam,exam,23,23,56.4,9,5.78,36,43,hard,low,8,0,58.8,6,1
Math Assignment (Sem 4),assignment,19,19,22.8,20,4.58,37,89,medium,critical,7,4,77.7,6,1
IoT Based Project (Sem 2),project,7,3,32.4,54,9.62,47,12,medium,medium,9,4,61.9,4,1
Mini Project,project,28,23,38.2,38,6.14,50,37,hard,low,10,6,59.4,14,1
Group Project - Web App,project,10,8,71.7,53,9.35,32,95,easy,medium,6,2,36.6,-3,0
IOT Lab Experiment (Sem 2),lab_experiment,21,19,25.0,78,6.97,34,13,medium,medium,4,4,42.8,13,1
DBMS Lab - SQL Queries (Sem 6),lab_experiment,14,9,75.9,60,8.68,27,82,hard,high,5,1,51.7,9,1
Surprise Test,exam,29,24,67.2,94,9.07,25,53,hard,critical,2,0,41.7,-1,0
Group Project - Web App (Sem 8),project,22,22,74.2,54,4.78,45,87,very_hard,high,10,6,80.7,13,1
Networking Assignment (Sem 1),assignment,28,27,13.4,82,5.2,14,39,hard,high,6,5,64.0,7,1
Data Structures Assignment #4,assignment,11,9,17.7,100,7.74,13,11,hard,medium,1,0,21.3,-1,0
IoT Based Project (Sem 3),project,34,29,25.8,68,9.3,36,71,medium,low,1,4,26.0,-3,0
DBMS Assignment (Sem 6),assignment,22,22,43.8,96,9.98,15,35,medium,critical,7,6,52.3,3,1
IoT Based Project #3,project,19,14,57.1,61,8.81,42,20,hard,medium,7,0,44.0,-1,0
Final Year Project #5,project,15,12,29.8,2,8.81,42,49,very_hard,medium,0,0,48.8,4,1
Computer Vision Lab #3,lab_experiment,23,21,24.4,89,8.36,9,81,hard,low,1,0,18.1,-2,0
Online Quiz #3,exam,9,7,78.8,67,8.91,45,91,hard,high,1,4,54.1,1,1
Compiler Lab - Lexical Analysis (Sem 2),lab_experiment,1,0,24.4,35,8.96,10,34,very_hard,high,6,3,92.0,3,1
Open Source Contribution,project,27,27,60.5,63,9.41,40,41,hard,medium,8,1,45.4,-1,0
Mini Project (Sem 7),project,27,22,10.6,28,5.4,37,69,very_hard,low,1,4,59.1,13,1
Digital Electronics Lab,lab_experiment,8,5,41.3,92,9.92,18,67,medium,low,0,5,26.4,-2,0
Mini Project (Sem 3),project,13,13,68.4,87,9.43,33,69,very_hard,medium,2,3,42.9,12,1
Unit Test,exam,20,18,5.3,59,9.71,42,88,hard,low,8,0,39.4,0,0
Web Dev Assignment (Sem 2),assignment,24,24,61.3,45,8.5,40,37,hard,medium,2,2,42.0,-1,0
Online Quiz #4,exam,28,27,8.3,67,5.09,11,85,easy,critical,3,6,56.7,11,1
DBMS Assignment #1,assignment,25,25,65.7,12,8.63,42,23,medium,critical,1,6,59.8,3,1
Open Source Contribution #5,project,11,7,58.9,86,5.95,13,31,very_hard,low,8,3,63.1,14,1
Module Exam,exam,24,23,57.5,52,6.89,42,56,very_hard,high,9,0,65.8,10,1
ML Model Project (Sem 2),project,8,3,63.4,77,9.29,36,75,easy,high,6,2,54.2,13,1
Group Project - Web App,project,14,14,67.0,61,8.23,16,76,easy,high,5,4,44.4,10,1
DS Lab - Linked List #1,lab_experiment,15,10,71.1,64,6.58,41,41,easy,high,8,3,49.3,-3,0
Research Project (Sem 7),project,22,17,74.2,85,9.85,34,86,very_hard,medium,3,6,50.4,13,1
DBMS Assignment #4,assignment,27,26,45.0,86,8.91,32,76,medium,high,2,3,35.0,-3,0
Web Dev Assignment,assignment,17,14,76.1,66,6.09,46,14,easy,high,5,0,43.4,7,1
Mobile App Development #5,project,25,24,68.9,48,9.62,50,10,medium,high,1,0,35.4,-3,0
End-Semester Exam,exam,28,27,41.4,19,7.42,15,62,medium,high,6,1,56.7,2,1
OS Lab - Process Scheduling,lab_experiment,13,9,44.7,81,6.64,23,60,hard,low,0,5,33.1,-1,0
DBMS Assignment #2,assignment,18,15,11.7,91,4.2,34,76,hard,medium,2,0,38.2,-1,0
Module Exam #2,exam,16,12,57.6,5,6.55,24,73,hard,medium,5,4,66.4,1,1
Viva Voce,exam,28,23,31.8,18,4.45,48,27,medium,critical,6,6,81.2,5,1
End-Semester Exam,exam,1,0,21.6,68,7.84,19,76,very_hard,high,9,2,84.3,5,1
Capstone Project,project,12,8,3.4,59,9.08,20,51,medium,medium,5,2,39.2,-3,0
AI Lab - Search Algorithms (Sem 2),lab_experiment,27,25,37.3,74,7.2,35,26,hard,medium,2,4,44.7,1,1
DBMS Lab - SQL Queries,lab_experiment,13,11,61.8,69,7.91,11,12,hard,high,9,0,46.3,14,1
Networking Assignment #2,assignment,31,30,40.9,97,8.47,45,97,very_hard,medium,9,6,55.1,14,1
Weekly Test (Sem 7),exam,4,2,15.4,67,5.99,44,40,medium,low,7,2,60.0,2,1
AI Lab - Search Algorithms (Sem 8),lab_experiment,10,9,65.9,42,4.24,13,15,medium,critical,9,2,66.9,3,1
Digital Electronics Lab (Sem 1),lab_experiment,23,22,63.0,58,4.6,15,73,very_hard,medium,6,3,65.9,14,1
Final Year Project #5,project,11,11,43.7,79,9.71,35,33,hard,medium,9,2,43.7,-2,0
Open Source Contribution,project,9,5,46.1,64,6.81,17,33,hard,critical,7,0,68.9,4,1
Capstone Project,project,32,30,14.6,70,8.05,27,89,easy,medium,5,4,36.7,-1,0
Surprise Test (Sem 1),exam,12,11,46.7,65,5.76,43,71,easy,critical,7,0,56.3,12,1
AI Lab - Search Algorithms,lab_experiment,25,21,63.3,8,7.49,23,52,very_hard,high,2,4,71.7,8,1
Machine Learning Assignment #2,assignment,29,25,3.8,51,8.63,18,60,very_hard,low,10,0,46.6,4,1
Networking Assignment,assignment,26,23,48.0,20,4.42,30,97,easy,critical,6,4,72.0,9,1
Group Project - Web App #3,project,18,18,45.7,5,4.42,37,89,very_hard,medium,5,2,76.7,9,1
End-Semester Exam #1,exam,13,10,72.3,90,9.22,37,66,hard,high,2,1,37.7,-1,0
Industry Internship Project (Sem 2),project,24,24,36.9,4,6.98,45,62,medium,medium,2,4,52.7,3,1
DBMS Assignment,assignment,16,12,24.4,59,7.68,29,27,medium,medium,4,4,41.1,8,1
IOT Lab Experiment,lab_experiment,14,10,54.8,45,8.19,16,36,hard,critical,0,6,54.6,7,1
IOT Lab Experiment (Sem 8),lab_experiment,30,26,48.4,70,5.17,39,22,easy,medium,5,3,45.9,3,1
DBMS Lab - SQL Queries #1,lab_experiment,31,28,67.2,47,4.33,13,62,medium,medium,10,5,56.9,10,1
Web Dev Assignment #5,assignment,25,23,79.1,51,7.61,39,72,very_hard,low,5,3,54.7,13,1
Group Project - Web App,project,17,14,24.5,44,9.06,32,53,hard,high,10,5,63.4,7,1
DBMS Lab - SQL Queries #5,lab_experiment,20,19,59.5,74,4.46,48,23,medium,high,6,3,58.0,9,1
Machine Learning Assignment (Sem 4),assignment,7,5,29.0,51,5.79,42,31,hard,high,2,4,70.0,3,1
Software Engineering Assignment (Sem 4),assignment,14,11,16.6,96,7.61,24,14,medium,high,8,5,45.2,0,0
Practical Exam,exam,33,30,8.6,55,5.43,41,46,hard,medium,4,0,52.1,4,1
DBMS Assignment #3,assignment,23,22,71.2,98,6.55,16,92,hard,high,2,1,39.0,0,0
Internal Assessment (Sem 7),exam,8,5,69.5,23,4.19,25,65,hard,high,7,3,80.9,5,1
Mobile App Development (Sem 3),project,30,29,25.1,38,7.13,30,64,easy,medium,8,1,42.4,-3,0
Networking Assignment #2,assignment,9,4,15.9,33,8.81,47,41,hard,high,5,0,65.1,3,1
Computer Graphics Assignment,assignment,10,8,8.6,30,5.38,45,32,medium,critical,5,3,74.5,8,1
DS Lab - Linked List #4,lab_experiment,4,0,32.4,65,8.45,42,79,medium,medium,2,2,56.2,11,1
Capstone Project,project,4,3,75.9,0,7.3,25,42,easy,high,5,0,69.5,1,1
Computer Graphics Assignment #4,assignment,20,17,19.4,96,6.0,10,63,very_hard,high,1,2,45.8,12,1
IOT Lab Experiment #3,lab_experiment,8,8,78.4,90,5.83,28,92,hard,critical,4,1,60.8,3,1
Group Project - Web App (Sem 1),project,8,5,17.3,75,4.36,20,58,medium,low,7,3,51.0,14,1
Group Project - Web App,project,15,15,42.4,32,5.28,20,29,very_hard,medium,0,5,60.6,8,1
Machine Learning Assignment #4,assignment,10,9,50.2,51,4.03,18,42,medium,high,7,6,63.6,4,1
Group Project - Web App (Sem 6),project,14,13,8.5,45,5.9,45,88,very_hard,low,4,0,57.5,13,1
Mini Project (Sem 8),project,35,30,62.1,48,6.77,37,17,hard,critical,5,0,66.1,5,1
IOT Lab Experiment (Sem 2),lab_experiment,8,4,3.6,48,5.42,22,92,medium,high,4,1,61.6,10,1
Unit Test #3,exam,22,20,67.1,27,7.12,45,32,hard,critical,4,2,72.1,5,1
Computer Vision Lab #2,lab_experiment,11,8,13.9,98,6.49,31,57,very_hard,high,5,2,59.5,1,1
Web Dev Assignment (Sem 1),assignment,11,9,1.4,6,4.9,6,51,very_hard,medium,4,1,68.4,2,1
End-Semester Exam #1,exam,26,21,46.8,28,5.15,8,38,easy,low,0,5,35.2,0,0
Unit Test,exam,4,3,13.8,1,5.71,15,49,medium,low,9,0,66.3,8,1
Web Dev Assignment (Sem 3),assignment,7,6,52.4,91,5.36,42,26,hard,medium,5,6,66.0,9,1
Software Engineering Assignment,assignment,26,25,34.1,71,9.68,12,17,very_hard,medium,8,4,55.0,2,1
Software Engineering Assignment,assignment,26,26,39.1,85,5.32,15,100,easy,high,6,4,49.5,9,1
End-Semester Exam,exam,7,4,8.8,38,8.04,13,71,medium,medium,6,6,56.7,1,1
Compiler Lab - Lexical Analysis (Sem 1),lab_experiment,29,24,66.9,51,7.46,24,48,medium,medium,5,1,44.2,-2,0
Networking Assignment,assignment,23,21,22.1,72,6.65,20,46,medium,medium,8,4,45.6,-3,0
Web Dev Assignment,assignment,3,0,9.1,79,4.46,39,29,hard,critical,6,5,100.0,1,1
Unit Test (Sem 2),exam,18,18,72.7,53,9.79,43,51,hard,medium,3,4,47.7,5,1
Software Engineering Assignment #1,assignment,16,16,67.6,65,7.5,34,45,medium,medium,7,5,45.4,11,1
DS Lab - Linked List,lab_experiment,24,24,16.7,76,4.42,30,61,hard,medium,7,2,53.8,10,1
IOT Lab Experiment #4,lab_experiment,15,14,5.6,74,6.32,14,19,very_hard,high,0,2,47.6,0,0
Mini Project,project,18,13,19.2,17,8.65,24,79,easy,low,0,2,23.0,0,0
OS Lab - Process Scheduling #5,lab_experiment,22,22,8.8,44,6.1,7,21,medium,high,5,6,58.9,4,1
Internal Assessment #1,exam,19,16,52.9,39,9.59,36,95,medium,high,10,1,49.8,14,1
End-Semester Exam,exam,19,19,27.4,68,6.65,43,33,very_hard,critical,0,0,55.7,9,1
Open Source Contribution #4,project,8,8,48.5,33,4.72,34,100,medium,medium,2,3,48.8,13,1
DBMS Assignment #1,assignment,5,3,30.5,91,4.53,44,35,easy,medium,8,2,55.2,10,1
End-Semester Exam (Sem 7),exam,30,30,14.4,8,8.24,47,62,very_hard,critical,1,0,66.1,11,1
End-Semester Exam #1,exam,23,20,73.2,35,9.63,30,71,easy,high,9,3,49.0,-3,0
Mid-Semester Exam #1,exam,31,28,41.0,11,6.02,45,48,hard,high,7,5,76.3,11,1
Math Assignment (Sem 4),assignment,7,4,23.4,20,6.59,44,29,easy,critical,4,0,65.4,1,1
Algorithms Assignment #1,assignment,7,5,35.2,24,4.93,10,85,easy,high,9,5,71.2,5,1
Surprise Test #4,exam,15,11,13.1,50,6.43,11,44,very_hard,high,6,1,65.1,10,1
Mobile App Development #5,project,17,15,63.0,33,9.91,13,99,medium,high,3,0,40.7,0,0
Web Dev Assignment,assignment,16,11,31.9,26,4.07,37,100,hard,low,2,6,56.5,13,1
IoT Based Project (Sem 2),project,5,1,68.4,72,4.34,47,50,hard,critical,5,4,100.0,11,1
Group Project - Web App,project,19,16,51.5,12,5.71,33,12,easy,high,8,1,59.9,9,1
Group Project - Web App,project,1,0,33.4,85,8.75,21,69,medium,medium,1,1,45.1,-2,0
Industry Internship Project #4,project,29,24,17.4,14,6.91,7,17,very_hard,high,10,1,71.9,5,1
Weekly Test #3,exam,10,5,20.1,20,4.21,7,32,hard,medium,3,1,62.7,4,1
Embedded Systems Lab #3,lab_experiment,2,2,22.7,3,9.5,26,79,medium,high,10,0,69.0,13,1
Computer Vision Lab #2,lab_experiment,6,2,34.6,55,8.47,33,44,hard,critical,4,2,75.3,10,1
Math Assignment,assignment,18,13,25.9,46,9.21,9,93,medium,critical,4,4,56.7,13,1
Network Lab - Packet Analysis #2,lab_experiment,27,25,18.9,82,4.01,29,89,medium,medium,7,5,51.5,1,1
Mid-Semester Exam,exam,28,24,42.6,51,7.11,14,90,medium,critical,9,2,60.2,2,1
Research Project (Sem 3),project,2,1,16.1,54,4.61,11,96,easy,high,10,3,78.3,7,1
Embedded Systems Lab (Sem 4),lab_experiment,34,29,4.9,21,9.29,36,26,easy,critical,10,5,64.4,13,1
DBMS Assignment,assignment,14,12,37.7,20,4.9,26,35,very_hard,high,9,1,77.6,11,1
Digital Electronics Lab #5,lab_experiment,20,18,57.0,69,6.85,8,40,easy,critical,9,0,47.0,-1,0
DBMS Assignment (Sem 3),assignment,22,21,77.6,79,9.06,16,74,hard,medium,9,4,45.8,6,1
Module Exam,exam,9,8,19.0,88,6.34,26,73,easy,high,3,0,31.0,-2,0
IOT Lab Experiment,lab_experiment,18,14,56.9,94,7.95,39,33,medium,medium,8,2,34.1,-3,0
DBMS Lab - SQL Queries,lab_experiment,20,16,69.0,76,7.6,26,54,hard,medium,7,4,47.4,2,1
Software Engineering Assignment,assignment,30,27,23.6,4,4.22,41,79,medium,medium,3,5,62.3,6,1
ML Model Project (Sem 5),project,20,17,55.6,69,7.68,44,57,medium,medium,0,1,22.6,0,0
Software Engineering Assignment (Sem 6),assignment,25,23,71.4,50,9.34,41,65,very_hard,critical,4,6,76.1,8,1
Practical Exam #1,exam,18,13,70.6,7,8.3,8,85,medium,high,7,2,55.4,11,1
IOT Lab Experiment #2,lab_experiment,21,21,56.1,41,8.72,40,58,hard,medium,0,3,38.8,-2,0
Open Source Contribution (Sem 4),project,20,17,70.4,8,4.11,26,68,hard,critical,8,1,80.0,14,1
Viva Voce #1,exam,29,28,19.5,55,6.49,41,100,hard,medium,7,1,52.1,14,1
AI Lab - Search Algorithms #2,lab_experiment,10,5,19.8,60,7.34,10,93,easy,low,0,1,24.0,-2,0
Machine Learning Assignment (Sem 5),assignment,33,30,36.6,46,5.44,21,14,medium,low,1,6,40.9,2,1
Digital Electronics Lab #3,lab_experiment,28,24,74.7,51,7.54,22,67,medium,critical,4,6,59.0,11,1
Digital Electronics Lab,lab_experiment,19,15,57.1,98,4.16,24,23,very_hard,critical,3,3,67.8,14,1
OS Assignment (Sem 4),assignment,13,11,27.4,75,7.98,22,48,medium,high,5,1,41.2,11,1
Surprise Test #5,exam,27,23,56.3,16,5.67,43,81,medium,high,2,6,64.1,14,1
IOT Lab Experiment #3,lab_experiment,12,8,58.2,88,6.66,49,14,easy,low,9,2,31.3,-3,0
Mid-Semester Exam #3,exam,23,19,28.6,40,7.57,27,23,easy,low,8,0,29.7,2,1
End-Semester Exam,exam,18,16,61.6,50,4.25,39,47,medium,critical,5,5,73.9,14,1
ML Model Project #1,project,14,12,49.3,8,5.95,37,19,very_hard,low,2,1,60.1,12,1
Computer Graphics Assignment #3,assignment,2,1,13.8,57,8.51,9,87,hard,high,6,5,83.5,14,1
Computer Graphics Assignment #2,assignment,15,14,75.0,64,6.46,33,76,hard,medium,9,5,57.5,11,1
Mini Project,project,12,10,28.1,19,5.43,35,30,very_hard,medium,2,3,66.7,9,1
ML Model Project,project,22,21,74.1,99,8.34,9,46,medium,medium,8,5,36.1,0,0
Weekly Test #1,exam,20,16,71.3,96,5.11,27,45,very_hard,low,4,5,55.5,3,1
Mini Project #5,project,28,28,23.4,46,5.49,36,34,medium,medium,0,1,36.4,-3,0
Mid-Semester Exam,exam,9,7,77.4,59,8.17,29,45,medium,medium,1,4,40.1,-3,0
End-Semester Exam (Sem 1),exam,4,2,26.2,55,4.5,50,93,easy,low,2,5,55.0,10,1
Computer Graphics Assignment (Sem 1),assignment,33,30,73.8,34,9.59,43,47,hard,low,0,1,31.5,0,0
IoT Based Project (Sem 5),project,3,3,46.7,30,9.4,26,77,medium,low,4,6,58.6,14,1
Software Engineering Assignment,assignment,34,30,58.8,76,5.06,13,75,easy,high,10,2,47.1,8,1
Software Engineering Assignment,assignment,7,7,8.5,96,5.27,46,82,very_hard,high,9,3,76.4,1,1
Compiler Lab - Lexical Analysis #1,lab_experiment,19,15,63.8,29,8.14,30,43,hard,critical,3,5,68.2,8,1
OS Assignment (Sem 7),assignment,22,19,74.2,46,9.61,7,81,very_hard,medium,7,3,57.5,7,1
Industry Internship Project (Sem 8),project,10,7,25.2,85,8.75,20,74,hard,high,0,1,39.0,0,0
Research Project,project,32,29,49.4,43,9.31,29,94,hard,medium,0,0,31.3,-1,0
Module Exam,exam,5,5,2.3,87,7.73,49,74,hard,high,4,4,59.5,14,1
Data Structures Assignment #5,assignment,16,13,29.2,70,4.23,25,46,easy,low,1,5,31.5,-1,0
Computer Vision Lab #4,lab_experiment,24,20,78.3,27,7.24,19,44,easy,high,3,4,50.5,2,1
Mid-Semester Exam #3,exam,17,13,8.4,92,8.74,44,91,medium,low,8,4,34.0,-3,0
Internal Assessment (Sem 3),exam,16,15,17.5,10,4.72,40,52,medium,high,7,4,72.0,6,1
DBMS Assignment #3,assignment,34,29,78.4,86,9.25,21,37,very_hard,high,9,4,59.9,3,1
Data Structures Assignment (Sem 2),assignment,6,5,23.2,46,4.07,48,60,medium,low,10,2,57.6,2,1
Open Source Contribution,project,16,16,6.8,62,6.01,45,96,very_hard,low,2,1,45.1,-3,0
AI Lab - Search Algorithms #4,lab_experiment,29,26,15.3,54,5.23,14,67,medium,critical,5,3,66.6,2,1
Digital Electronics Lab (Sem 4),lab_experiment,8,7,10.3,31,5.04,7,81,easy,critical,5,4,75.5,2,1
Web Dev Assignment (Sem 4),assignment,7,2,20.6,7,7.87,43,23,hard,high,9,3,82.9,2,1
Mini Project #5,project,13,12,24.9,19,8.22,35,98,medium,critical,1,4,55.7,13,1
Machine Learning Assignment #1,assignment,18,16,63.1,6,7.87,6,36,easy,high,7,5,56.4,8,1
DBMS Lab - SQL Queries,lab_experiment,21,18,26.9,48,5.28,6,12,very_hard,low,4,0,53.0,10,1
Module Exam #5,exam,27,23,47.8,97,5.57,33,38,easy,medium,8,6,43.9,0,0
Internal Assessment #2,exam,29,25,15.6,57,4.45,47,100,medium,critical,7,3,69.3,4,1
Internal Assessment,exam,15,10,51.5,11,5.29,14,71,medium,medium,6,2,58.2,10,1
Surprise Test,exam,19,16,30.4,33,5.4,14,75,hard,high,1,4,59.8,3,1
Data Structures Assignment #2,assignment,5,4,49.4,41,5.99,17,100,medium,low,10,2,55.5,4,1
Industry Internship Project #5,project,26,26,78.5,36,5.46,46,27,very_hard,high,8,2,78.4,5,1
End-Semester Exam (Sem 2),exam,26,26,23.8,93,7.41,48,26,easy,high,0,5,33.2,-3,0
Data Structures Assignment #1,assignment,16,15,56.8,70,6.66,10,44,very_hard,critical,5,5,77.0,4,1
Computer Vision Lab #4,lab_experiment,27,23,29.9,55,4.76,36,51,very_hard,medium,2,1,55.6,1,1
Internal Assessment #3,exam,12,8,18.6,84,4.91,20,87,easy,high,0,2,31.2,-2,0
Group Project - Web App (Sem 8),project,25,25,40.6,3,9.69,13,47,hard,high,8,2,63.7,10,1
IOT Lab Experiment (Sem 8),lab_experiment,28,25,22.9,17,8.0,6,79,medium,medium,0,5,37.2,-2,0
Mini Project #1,project,23,18,27.8,58,8.98,47,31,medium,low,3,6,37.1,-1,0
AI Lab - Search Algorithms,lab_experiment,29,26,33.8,42,8.87,34,89,very_hard,medium,8,0,55.0,1,1
ML Model Project (Sem 6),project,29,27,9.2,91,5.38,32,98,easy,medium,0,2,24.0,-3,0
Industry Internship Project #3,project,15,10,36.9,45,7.88,46,69,very_hard,medium,10,5,65.6,1,1
